HashWord,Frequency,State
#telanganaelections,2084,Telangana
#trs,1642,Telangana
#telanganaelections2018,1512,Telangana
#kcr,1321,Telangana
#telanganawithkcr,943,Telangana
@ktrtrs,918,Telangana
#telangana,866,Telangana
telangana,760,Telangana
trs,597,Telangana
#phirekbaarkcr,596,Telangana
#prajakutami,546,Telangana
people,511,Telangana
#tdp,487,Telangana
@trspartyonline,474,Telangana
#voteforcar,405,Telangana
#congress,389,Telangana
#exitpole,389,Telangana
vote,376,Telangana
election,357,Telangana
party,338,Telangana
win,318,Telangana
#telanganaelections',317,Telangana
polling,307,Telangana
bjp,306,Telangana
congress,299,Telangana
#bjp,297,Telangana
cast,292,Telangana
elections,289,Telangana
#telanganaelection2018,285,Telangana
kcr,284,Telangana
@ncbn,284,Telangana
:,275,Telangana
exit,272,Telangana
#hyderabad,271,Telangana
voting,268,Telangana
one,233,Telangana
time,219,Telangana
#ktr,217,Telangana
#exitpolls,214,Telangana
#assemblyelections2018,213,Telangana
@raokavitha,209,Telangana
campaign,208,Telangana
@incindia,203,Telangana
support,200,Telangana
get,199,Telangana
#mahakutami,194,Telangana
like,186,Telangana
poll,185,Telangana
candidate,184,Telangana
assembly,182,Telangana
live,182,Telangana
right,181,Telangana
#telanganaassemblyelections2018,181,Telangana
state,180,Telangana
going,177,Telangana
cm,177,Telangana
voter,175,Telangana
please,172,Telangana
polls,171,Telangana
constituency,169,Telangana
",",169,Telangana
seats,162,Telangana
#chandrababunaidu,162,Telangana
go,160,Telangana
sri,154,Telangana
votes,152,Telangana
hyderabad,152,Telangana
show,151,Telangana
#rajasthanelections2018,150,Telangana
@rahulgandhi,150,Telangana
.,149,Telangana
#trs',148,Telangana
think,148,Telangana
@inctelangana,147,Telangana
today,147,Telangana
voters,146,Telangana
public,145,Telangana
till,144,Telangana
see,143,Telangana
@trsharish,142,Telangana
#kcrfailedtelangana,142,Telangana
many,135,Telangana
govt,134,Telangana
leader,134,Telangana
2018,133,Telangana
@jaitdp,133,Telangana
#telanganawithkcr',132,Telangana
good,132,Telangana
#rajasthanelections,131,Telangana
government,131,Telangana
reddy,130,Telangana
sir,128,Telangana
meeting,126,Telangana
@bjp4india,125,Telangana
#telanganaelections2018',125,Telangana
u,124,Telangana
garu,123,Telangana
road,123,Telangana
development,121,Telangana
better,120,Telangana
form,119,Telangana
power,118,Telangana
minister,117,Telangana
even,115,Telangana
#ncbn,115,Telangana
make,115,Telangana
also,114,Telangana
every,111,Telangana
news,111,Telangana
survey,110,Telangana
says,109,Telangana
#telanganaassemblyelections,109,Telangana
casts,109,Telangana
results,108,Telangana
..,108,Telangana
take,107,Telangana
voted,107,Telangana
#telanganaelection,107,Telangana
come,106,Telangana
india,104,Telangana
done,104,Telangana
last,104,Telangana
first,104,Telangana
rao,103,Telangana
turnout,102,Telangana
pm,102,Telangana
#votefortrs,102,Telangana
booth,101,Telangana
#exitpoll',99,Telangana
media,99,Telangana
#andhrapradesh,98,Telangana
day,95,Telangana
vote.,94,Telangana
name,93,Telangana
know,93,Telangana
need,92,Telangana
us,92,Telangana
',92,Telangana
#elections2018,92,Telangana
rajasthan,92,Telangana
participated,90,Telangana
best,89,Telangana
back,87,Telangana
naidu,87,Telangana
chandrababu,86,Telangana
#govotebjp,86,Telangana
would,85,Telangana
5,85,Telangana
@urstrulymahesh,85,Telangana
mp,85,Telangana
missing,83,Telangana
want,80,Telangana
give,80,Telangana
@narendramodi,80,Telangana
watch,79,Telangana
#trsparty,78,Telangana
#vote,78,Telangana
1,77,Telangana
casted,77,Telangana
may,76,Telangana
speech,76,Telangana
family,76,Telangana
#aimim,75,Telangana
say,75,Telangana
mla,75,Telangana
3,74,Telangana
#rahulgandhi,73,Telangana
?,73,Telangana
big,73,Telangana
winning,72,Telangana
along,71,Telangana
dec,71,Telangana
names,71,Telangana
let,71,Telangana
list,70,Telangana
full,70,Telangana
recorded,70,Telangana
great,70,Telangana
part,70,Telangana
car,70,Telangana
chief,69,Telangana
next,69,Telangana
got,69,Telangana
#revanthreddy,69,Telangana
anna,68,Telangana
#rajasthan,68,Telangana
!,68,Telangana
dont,67,Telangana
telangana.,67,Telangana
ur,67,Telangana
political,67,Telangana
#kukatpally,66,Telangana
tv9,66,Telangana
2,66,Telangana
made,66,Telangana
tdp,66,Telangana
@asadowaisi,66,Telangana
ap,65,Telangana
per,65,Telangana
clear,65,Telangana
never,65,Telangana
7,65,Telangana
4,65,Telangana
fight,64,Telangana
n,64,Telangana
11th,64,Telangana
future,64,Telangana
@uttamtpcc,64,Telangana
#exitpollindiatoday,64,Telangana
parties,63,Telangana
#cbn,63,Telangana
leaders,63,Telangana
#byebyetrs,62,Telangana
"#telanganaelections""",62,Telangana
majority,62,Telangana
sure,62,Telangana
years,62,Telangana
new,62,Telangana
r,61,Telangana
still,61,Telangana
prediction,60,Telangana
days,60,Telangana
politics,60,Telangana
states,59,Telangana
ktr,59,Telangana
coming,59,Telangana
andhra,58,Telangana
@telanganacmo,58,Telangana
victory,58,Telangana
wait,58,Telangana
shows,57,Telangana
casting,57,Telangana
can't,57,Telangana
change,57,Telangana
nagar,57,Telangana
updates,56,Telangana
said,56,Telangana
#live,56,Telangana
well,56,Telangana
revanth,56,Telangana
#askktr,55,Telangana
@naralokesh,55,Telangana
times,55,Telangana
money,54,Telangana
hope,54,Telangana
superstar,54,Telangana
today.,54,Telangana
must,54,Telangana
modi,54,Telangana
@revanth_anumula,54,Telangana
#telangana',54,Telangana
wins,54,Telangana
believe,53,Telangana
look,53,Telangana
percentage,53,Telangana
vs,53,Telangana
campaigned,53,Telangana
without,52,Telangana
cbn,52,Telangana
%,52,Telangana
jai,52,Telangana
alliance,52,Telangana
#tjs,51,Telangana
#electioncommission,51,Telangana
dear,51,Telangana
could,51,Telangana
#kcr100lies,51,Telangana
#india,51,Telangana
...,50,Telangana
@bjp4telangana,49,Telangana
city,49,Telangana
@pawankalyan,49,Telangana
"b""@ktrtrs",49,Telangana
#congressiswinning,49,Telangana
#madhyapradeshelections2018,49,Telangana
lets,48,Telangana
way,48,Telangana
#cpi,48,Telangana
welfare,48,Telangana
held,48,Telangana
#maharshi,47,Telangana
national,47,Telangana
evm,47,Telangana
||,47,Telangana
work,47,Telangana
help,47,Telangana
others,46,Telangana
december,46,Telangana
#maheshbabu,46,Telangana
roadshow,46,Telangana
president,46,Telangana
#ktrexposed,46,Telangana
"telangana,",46,Telangana
#whereismyvote,45,Telangana
TRUE,45,Telangana
supporting,45,Telangana
much,45,Telangana
manifesto,45,Telangana
result,45,Telangana
#cbnints,45,Telangana
check,45,Telangana
rally,44,Telangana
let's,44,Telangana
high,44,Telangana
#cbnintelangana,44,Telangana
everyone,43,Telangana
use,43,Telangana
video,43,Telangana
lagadapati,43,Telangana
came,43,Telangana
huge,43,Telangana
2014,43,Telangana
giving,43,Telangana
"#trs,",43,Telangana
#modi,42,Telangana
man,42,Telangana
comments,42,Telangana
#khallaskcr,42,Telangana
telugu,42,Telangana
real,41,Telangana
ki,41,Telangana
making,41,Telangana
face,41,Telangana
#secunderabad,41,Telangana
updates:,41,Telangana
10,41,Telangana
progress,41,Telangana
constituency.,41,Telangana
interview,40,Telangana
!!,40,Telangana
always,40,Telangana
getting,40,Telangana
constituency#telangana,40,Telangana
#jaitelangana,40,Telangana
#telanganapolls,40,Telangana
#trs105#phirekbaarkcr,40,Telangana
#telanganaadda,40,Telangana
reason,40,Telangana
candidates,39,Telangana
predicts,39,Telangana
called,39,Telangana
set,39,Telangana
harish,39,Telangana
#madhyapradesh,39,Telangana
queue,39,Telangana
biggest,39,Telangana
k,39,Telangana
lost,38,Telangana
ready,38,Telangana
free,38,Telangana
elections.,38,Telangana
share,38,Telangana
campaigning,38,Telangana
play,38,Telangana
caste,38,Telangana
