,HashWord,Frequency,State
0,#telanganaelections,2521,Telangana
1,#trs,1922,Telangana
2,#telanganaelections2018,1716,Telangana
3,vote,1528,Telangana
4,#telanganawithkcr,1126,Telangana
5,#telangana,990,Telangana
6,@ktrtrs,964,Telangana
7,telangana,934,Telangana
8,#exitpoll,741,Telangana
9,trs,678,Telangana
10,#prajakutami,602,Telangana
11,people,546,Telangana
12,amp,542,Telangana
13,#kcr,513,Telangana
14,@trspartyonline,504,Telangana
15,|,494,Telangana
16,#voteforcar,454,Telangana
17,#congress,432,Telangana
18,#phirekbaarkcr,427,Telangana
19,#tdp,399,Telangana
20,bjp,395,Telangana
21,election,394,Telangana
22,party,376,Telangana
23,elections,366,Telangana
24,win,359,Telangana
25,congress,356,Telangana
26,#bjp,342,Telangana
27,kcr,325,Telangana
28,#telanganaelection2018,317,Telangana
29,polling,316,Telangana
30,#hyderabad,314,Telangana
31,@ncbn,301,Telangana
32,cast,293,Telangana
33,voting,286,Telangana
34,exit,276,Telangana
35,time,265,Telangana
36,one,242,Telangana
37,#exitpolls,242,Telangana
38,state,238,Telangana
39,dont,236,Telangana
40,seats,236,Telangana
41,#ktr,234,Telangana
42,polls,232,Telangana
43,#assemblyelections2018,232,Telangana
44,constituency,228,Telangana
45,today,227,Telangana
46,@raokavitha,222,Telangana
47,hyderabad,222,Telangana
48,campaign,218,Telangana
49,#mahakutami,214,Telangana
50,@incindia,213,Telangana
51,poll,211,Telangana
52,support,209,Telangana
53,live,206,Telangana
54,right,204,Telangana
55,#telanganaassemblyelections2018,203,Telangana
56,get,199,Telangana
57,candidate,192,Telangana
58,assembly,188,Telangana
59,like,187,Telangana
60,votes,185,Telangana
61,cm,182,Telangana
62,sir,179,Telangana
63,voter,179,Telangana
64,please,178,Telangana
65,going,178,Telangana
66,show,174,Telangana
67,#chandrababunaidu,173,Telangana
68,govt,171,Telangana
69,2018,168,Telangana
70,voters,168,Telangana
71,go,165,Telangana
72,sri,164,Telangana
73,garu,164,Telangana
74,@rahulgandhi,160,Telangana
75,voted,157,Telangana
76,government,155,Telangana
77,leader,154,Telangana
78,public,154,Telangana
79,@inctelangana,154,Telangana
80,#rajasthanelections2018,153,Telangana
81,@trsharish,153,Telangana
82,think,151,Telangana
83,development,150,Telangana
84,india,150,Telangana
85,see,148,Telangana
86,power,148,Telangana
87,@bjp4india,146,Telangana
88,#kcrfailedtelangana,145,Telangana
89,till,144,Telangana
90,results,139,Telangana
91,#rajasthanelections,139,Telangana
92,many,139,Telangana
93,reddy,138,Telangana
94,good,137,Telangana
95,@jaitdp,136,Telangana
96,#telanganaassemblyelections,135,Telangana
97,better,133,Telangana
98,road,133,Telangana
99,meeting,130,Telangana
100,u,129,Telangana
101,pm,125,Telangana
102,rajasthan,124,Telangana
103,survey,123,Telangana
104,also,122,Telangana
105,#ncbn,122,Telangana
106,form,122,Telangana
107,minister,121,Telangana
108,done,120,Telangana
109,day,119,Telangana
110,news,119,Telangana
111,rao,116,Telangana
112,even,116,Telangana
113,make,115,Telangana
114,mp,114,Telangana
115,come,114,Telangana
116,every,114,Telangana
117,#telanganaelection,114,Telangana
118,missing,113,Telangana
119,turnout,112,Telangana
120,says,112,Telangana
121,booth,110,Telangana
122,first,110,Telangana
123,casts,109,Telangana
124,take,108,Telangana
125,media,107,Telangana
126,#votefortrs,107,Telangana
127,us,106,Telangana
128,1,105,Telangana
129,years,105,Telangana
130,last,104,Telangana
131,#andhrapradesh,101,Telangana
132,list,100,Telangana
133,updates,99,Telangana
134,best,98,Telangana
135,#elections2018,98,Telangana
136,know,97,Telangana
137,lets,96,Telangana
138,name,94,Telangana
139,need,94,Telangana
140,car,94,Telangana
141,#vote,93,Telangana
142,cant,93,Telangana
143,back,93,Telangana
144,5,93,Telangana
145,@urstrulymahesh,92,Telangana
